Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Foundation,Property,ID,ImageURL,Connect,In a nut shell,SemanticScholar
,,LlamaIndex,Package,,https://github.com/run-llama/llama_index,,,,,412,,,,
,,LangChain,Package,,https://github.com/langchain-ai/langchain,,,,,413,,,,
,,h2oGPT,Package,,https://github.com/h2oai/h2ogpt,,,,,414,,,,
60,,Awesome LLMOps,"Awesome Repo, Package",,https://github.com/tensorchord/Awesome-LLMOps,,,,,415,,,,
,,Dify,Package,,https://github.com/langgenius/dify,,,,,416,,,,
,,Alpaca-LoRA,Package,,https://github.com/tloen/alpaca-lora,,,,,417,,,,
,,LoRA: Low-Rank Adaptation of Large Language Models,"LoRA, Scaling",,,,,,,418,,,,
,,Efficient Large Language Models: A Survey,Survey,https://arxiv.org/abs/2312.03863,https://github.com/AIoT-MLSys-Lab/Efficient-LLMs-Survey,,,,,419,,,,
,,Robust Speech Recognition via Large-Scale Weak Supervision,Audio,,,,,,,420,,,,
,,A latent text-to-image diffusion model,Diffusion,,,,,,,421,,,,
,,A Survey on Model Compression for Large Language Models,"Compress, Quantization, Survey",https://arxiv.org/abs/2308.07633,,,,,,422,,,,
30,,Awesome LLM Compression,"Awesome Repo, Compress",,https://github.com/HuangOwen/Awesome-LLM-Compression,,,,Awesome LLM Compression,424,,,,
,40,Cognitive Architectures for Language Agents,Agent,https://arxiv.org/abs/2309.02427,,,,,,426,,,,
,,LLM Agents Papers,"Agent, Awesome Repo",,https://github.com/zjunlp/LLMAgentPapers,,,,,427,,,,
,,Awesome LLM-Powered Agent,"Agent, Awesome Repo",,https://github.com/hyp1231/awesome-llm-powered-agent,,,,,428,,,,
,,Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements,"LoRA, Scaling",https://arxiv.org/abs/2305.03695,,,,,,429,,,,
,,Video Understanding with Large Language Models: A Survey,"Survey, Video",,,,,,,431,,,,
,,A Survey on Multimodal Large Language Models for Autonomous Driving,"Drive, Survey",https://arxiv.org/abs/2311.12320,,,,,,432,,,,
,,Retrieval-Augmented Generation for Large Language Models: A Survey,"RAG, Survey",,,,,,,433,,,,
,,On the Design Fundamentals of Diffusion Models: A Survey,"Diffusion, Survey",https://arxiv.org/abs/2306.04542,,,,,,434,,,,
,,Chain-of-table: Evolving tables in the reasoning chain for table understanding,"Chain-of-Thought, Reasoning, Table",,,,,,,435,,,,
,,DeepSeek-VL: Towards Real-World Vision-Language Understanding01,"VLM, VQA",,,,,,,436,,,,
,,Tree-Planner: Efficient Close-loop Task Planning with Large Language Models01,"LLM, PersonalCitation, Robot",,,,,,,437,,,,
,,GPT-4V(ision) for Robotics: Multimodal Task Planning from Human Demonstration,"Demonstration, GPT4, PersonalCitation, Robot",,,,,,,438,,,,
,,IROS2023PaperList,"Awesome Repo, IROS, Robot",,https://github.com/gonultasbu/IROS2023PaperList,,,,,439,,,,
,,Paper List for In-context Learning,"Awesome Repo, In-Context-Learning",,https://github.com/dqxiu/ICL_PaperList,,,,,440,,,,
,,OPEx: A Component-Wise Analysis of LLM-Centric Agents in Embodied Instruction Following,"Agent, Embodied, Robot",,,,,,,441,,,,
,,Chain of Code: Reasoning with a Language Model-Augmented Code Emulator,"Chain-of-Thought, Code-as-Policies",https://arxiv.org/abs/2312.04474,,,,,,442,,,,
,,AgentTuning: Enabling Generalized Agent Abilities For LLMs,"Agent, Instruction-Turning",https://arxiv.org/abs/2310.12823,,,,,Comprehensive Collection of LLM-Related Papers,443,,,,
,,Ghost in the Minecraft: Generally Capable Agents for Open-World Environments via Large Language Models with Text-based Knowledge and Memory01,"Agent, Minecraft",,,,,,,444,,,,
,,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,VLM,,,,,,,445,,,,
,,Prompt a Robot to Walk with Large Language Models,"Action-Generation, Generation, Prompting",,,,,,,446,,,,
,,Can large language models explore in-context?,In-Context-Learning,,,,,,,448,,,,
,,RoFormer: Enhanced Transformer with Rotary Position Embedding,Context-Window,,,,,,,449,,,,
,,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,"Context-Window, Foundation",,,,,,,451,,,,
,,Corrective Retrieval Augmented Generation,"CRAG, RAG",https://arxiv.org/abs/2401.15884,,,,,,452,,,,
,,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",RAG,,,,,,,453,,,,
,,RAG-Fusion: a New Take on Retrieval-Augmented Generation,RAG,https://arxiv.org/abs/2402.03367,,,,,,454,,,,
,,Gorilla: Large Language Model Connected with Massive APIs,"APIs, Agent, Tool",https://arxiv.org/abs/2305.15334,,,,,,455,,,,
,,RAFT: Adapting Language Model to Domain Specific RAG,RAG,https://arxiv.org/abs/2403.10131,,,,,,456,,,,
,,AIOS: LLM Agent Operating System,Agent,https://arxiv.org/abs/2403.16971,,,,,,457,,,,
,,"LLM as OS, Agents as Apps: Envisioning AIOS, Agents and the AIOS-Agent Ecosystem",Agent,https://arxiv.org/abs/2312.03815,,,,,,458,,,,
,,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,RAG,https://arxiv.org/abs/2403.14403,,,,,,459,,,,
,,Explorative Inbetweening of Time and Space,Temporal,https://arxiv.org/abs/2403.14611,,,,,,460,,,,
,,"DeliGrasp: Inferring Object Mass, Friction, and Compliance with LLMs for Adaptive and Minimally Deforming Grasp Policies",Robot,https://arxiv.org/abs/2403.07832,,,,,,461,,,,
,,LaVague,"Action-Model, Agent, LAM",,https://github.com/lavague-ai/LaVague,,,,,462,,,,
,,Be Yourself: Bounded Attention for Multi-Subject Text-to-Image Generation,Tex2Img,https://arxiv.org/abs/2403.16990,,,,,,463,,,,
,,Awesome-Chinese-LLM,"Awesome Repo, Chinese",,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,,,,,464,,,,
,,awesome-korean-llm,"Awesome Repo, Korean",,https://github.com/NomaDamas/awesome-korean-llm,,,,,465,,,,
,,InternVideo2: Scaling Video Foundation Models for Multimodal Video Understanding,"ViFM, Video",https://arxiv.org/abs/2403.15377,https://github.com/OpenGVLab/InternVideo2/,,,,,466,,,,
,,Mora: Enabling Generalist Video Generation via A Multi-Agent Framework,"Sora, Text-to-Video",https://arxiv.org/abs/2403.13248,,,,,,468,,,,
,,open-interpreter,"Agent-Project, Code-LLM",,https://github.com/OpenInterpreter/open-interpreter,,,,,469,,,,
